,Column_1,Column_2,Column_3,Column_4,Column_5
315,13,1,28,14,4
316,14,16,6,11,13
317,8,2,34,8,8
318,11,25,15,6,3
319,4,35,18,1,2
320,6,11,12,23,8
321,13,1,4,1,41
322,10,19,5,20,6
323,6,4,28,7,15
324,9,3,4,9,35
325,48,5,1,1,5
326,18,6,6,9,21
327,3,5,11,15,26
328,12,1,16,15,16
329,3,9,2,4,42
330,1,30,7,17,5
331,27,2,15,14,2
332,41,6,1,6,6
333,5,2,29,8,16
334,6,24,22,3,5
335,9,12,9,24,6
336,2,44,4,4,6
337,2,17,13,27,1
338,16,1,8,6,29
339,13,16,5,22,4
340,6,23,7,5,19
341,21,23,5,6,5
342,28,11,9,11,1
343,13,17,5,5,20
344,5,5,12,27,11
345,8,9,29,2,12
346,3,8,14,3,32
347,13,19,5,18,5
348,15,3,19,2,21
349,6,16,7,18,13
350,13,11,27,3,6
351,21,3,8,18,10
352,2,17,25,9,7
353,4,2,13,29,12
354,4,3,4,20,29
355,5,9,19,11,16
356,2,8,4,32,14
357,27,13,8,4,8
358,31,12,7,3,7
359,33,3,2,16,6
360,5,6,27,12,10
361,15,3,19,14,9
362,14,3,14,3,26
363,32,4,7,13,4
364,7,6,3,35,9
365,1,10,6,16,27
366,35,3,17,3,2
367,23,4,5,17,11
368,1,17,1,17,24
369,24,6,22,2,6
370,26,3,4,21,6
371,3,16,27,8,6
372,17,17,9,4,13
373,11,17,9,10,13
374,10,15,13,5,17
375,6,2,37,14,1
376,10,22,17,10,1
377,9,18,22,9,2
378,13,9,9,15,14
379,20,17,1,14,8
380,1,16,8,14,21
381,7,28,8,14,3
382,10,3,6,13,28
383,41,7,7,2,3
384,14,31,8,6,1
385,9,21,16,13,1
386,12,8,17,21,2
387,17,27,13,2,1
388,13,14,11,16,6
389,15,23,1,20,1
390,1,8,16,25,10
391,35,4,5,9,7
392,23,7,3,18,9
393,17,20,7,14,2
394,11,5,10,13,21
395,5,18,9,15,13
396,26,1,5,7,21
397,6,14,18,4,18
398,5,19,21,7,8
399,19,25,5,4,7
400,3,3,16,2,36
401,3,1,32,20,4
402,1,1,21,25,12
403,17,3,15,21,4
404,14,22,18,5,1
405,2,9,23,14,12
406,1,14,2,33,10
407,39,12,1,6,2
408,4,1,18,25,12
409,10,8,5,14,23
410,12,8,9,23,8
411,10,3,21,16,10
412,2,3,2,47,6
413,27,7,10,13,3
414,17,15,11,16,1
415,3,34,9,8,6
416,10,10,2,32,6
417,13,26,2,4,15
418,30,6,5,15,4
419,1,6,30,15,8
420,7,5,21,20,7
421,1,18,16,4,21
422,19,3,18,2,18
423,1,18,3,8,30
424,15,11,9,3,22
425,18,9,4,3,26
426,18,3,2,2,35
427,12,18,19,3,8
428,8,23,5,7,17
429,3,1,23,31,2
430,20,23,4,7,6
431,1,25,9,6,19
432,9,16,20,3,12
433,15,8,3,5,29
434,9,7,7,25,12
435,7,18,19,1,15
436,7,4,6,28,15
437,5,12,20,21,2
438,1,19,11,27,2
439,7,24,24,4,1
440,4,1,26,28,1
441,8,30,1,5,16
442,17,14,14,12,3
443,2,2,32,16,8
444,12,6,21,18,3
445,17,12,23,2,6
446,26,7,22,2,3
447,18,28,2,3,9
448,16,14,11,7,12
449,10,10,20,6,14
450,2,20,5,10,23
451,8,11,2,15,24
452,32,5,1,9,13
453,5,19,11,14,11
454,1,10,37,2,10
455,2,19,8,12,19
456,14,1,13,17,15
457,23,4,13,6,14
458,1,21,2,2,34
459,34,7,10,5,4
460,13,11,13,1,22
461,14,33,5,6,2
462,4,1,23,13,19
463,34,7,9,2,8
464,1,20,22,15,2
465,12,10,24,1,13
466,7,35,7,3,8
467,21,22,5,1,11
468,12,5,24,6,13
469,6,16,3,9,26
470,1,9,20,13,17
471,9,5,12,27,7
472,19,17,2,20,2
473,23,11,14,10,2
474,1,8,11,30,10
475,31,2,11,3,13
476,2,6,4,27,21
477,10,8,13,22,7
478,20,6,6,6,22
479,13,17,7,3,20
480,8,19,14,4,15
481,21,24,1,11,3
482,10,2,15,7,26
483,21,7,26,3,3
484,8,29,11,2,10
485,10,7,13,28,2
486,16,18,8,14,4
487,3,24,21,3,9
488,29,1,4,9,17
489,22,15,4,2,17
490,36,6,5,10,3
491,9,20,21,5,5
492,11,7,16,2,24
493,2,32,12,1,13
494,3,35,3,3,16
495,1,14,8,20,17
496,13,21,18,7,1
497,6,29,9,3,13
498,9,7,8,16,20
499,12,3,6,15,24
500,23,8,5,13,11
501,22,11,6,19,2
502,11,5,10,2,32
503,11,17,9,4,19
504,30,9,7,6,8
505,10,35,1,7,7
506,1,15,4,7,33
507,25,3,11,10,11
508,10,15,28,2,5
509,7,29,6,10,8
510,6,6,13,24,11
511,14,2,6,25,13
512,4,5,7,27,17
513,35,9,5,8,3
514,8,19,19,1,13
515,7,22,27,2,2
516,12,4,15,9,20
517,15,14,14,6,11
518,18,3,8,24,7
519,32,12,4,1,11
520,13,3,4,5,35
521,1,10,28,7,14
522,2,1,10,9,38
523,17,4,10,1,28
524,27,11,6,3,13
525,5,22,11,19,3
526,28,5,21,1,5
527,5,17,12,21,5
528,12,8,10,27,3
529,19,10,2,10,19
530,2,28,12,15,3
531,4,12,5,3,36
532,13,5,6,6,30
533,10,37,3,5,5
534,16,2,10,26,6
535,9,13,19,16,3
536,10,14,19,14,3
537,13,14,17,12,4
538,11,23,4,16,6
539,12,2,14,9,23
540,20,15,15,7,3
541,16,23,4,16,1
542,2,1,43,1,13
543,4,18,16,19,3
544,6,15,5,27,7
545,12,13,19,15,1
546,34,2,9,2,13
547,7,7,3,20,23
548,6,14,11,9,20
549,21,15,7,5,12
550,21,15,1,15,8
551,11,10,7,12,20
552,10,27,4,12,7
553,14,4,14,21,7
554,2,18,25,8,7
555,7,10,16,2,25
556,8,30,2,11,9
557,3,2,12,33,10
558,25,15,1,8,11
559,3,12,22,22,1
560,14,8,11,8,19
561,5,22,11,10,12
562,24,13,16,3,4
563,13,17,24,3,3
564,1,1,9,22,27
565,7,11,37,3,2
566,17,7,5,16,15
567,21,1,19,16,3
568,20,25,2,7,6
569,15,9,20,14,2
570,19,7,10,9,15
571,10,11,1,29,9
572,32,10,9,5,4
573,5,13,6,13,23
574,3,33,6,17,1
575,15,8,17,6,14
576,4,9,36,1,10
577,34,5,1,15,5
578,20,7,6,13,14
579,3,12,3,9,33
580,24,11,20,2,3
581,15,8,15,18,4
582,19,1,3,25,12
583,13,1,11,28,7
584,4,33,11,8,4
585,32,7,8,10,3
586,10,2,10,18,20
587,9,9,19,7,16
588,5,13,7,22,13
589,13,11,7,2,27
590,6,27,16,3,8
591,31,13,10,3,3
592,7,1,12,9,31
593,8,3,16,5,28
594,33,2,2,12,11
595,19,16,18,4,3
596,18,6,20,12,4
597,4,8,21,17,10
598,42,3,13,1,1
599,3,14,23,2,18
600,42,8,4,1,5
601,3,13,12,2,30
602,14,23,11,7,5
603,16,11,20,8,5
604,6,12,5,33,4
605,7,8,17,18,10
606,9,17,3,29,2
607,21,21,1,7,10
608,3,43,6,5,3
609,5,31,19,4,1
610,11,3,17,2,27
611,1,28,4,23,4
612,17,24,3,14,2
613,7,23,22,4,4
614,28,9,20,1,2
615,11,18,13,7,11
616,14,10,27,2,7
617,16,15,5,11,13
618,12,11,14,15,8
619,5,10,6,29,10
620,10,1,1,20,28
621,1,35,2,7,15
622,33,8,8,7,4
623,17,9,8,7,19
624,16,5,12,7,20
625,7,17,5,14,17
626,39,10,5,4,2
627,18,22,1,10,9
628,2,19,9,9,21
629,8,2,5,21,24
630,12,22,17,8,1
631,31,1,8,13,7
632,12,7,30,3,8
633,16,17,7,6,14
634,19,13,4,8,16
635,21,18,10,5,6
636,3,1,12,6,38
637,27,1,20,5,7
638,19,2,16,12,11
639,15,10,3,24,8
640,20,3,17,11,9
641,1,2,22,28,7
642,10,16,23,6,5
643,1,18,4,12,25
644,14,3,1,29,13
645,7,5,30,8,10
646,3,28,6,21,2
647,14,19,1,18,8
648,1,7,36,5,11
649,1,29,3,5,22
650,4,19,2,16,19
651,26,7,21,2,4
652,5,7,18,8,22
653,4,32,6,17,1
654,13,18,2,25,2
655,9,3,26,17,5
656,24,10,17,7,2
657,3,10,28,4,15
658,7,12,19,8,14
659,12,2,17,9,20
660,3,15,16,12,14
661,19,21,14,1,5
662,10,34,6,4,6
663,19,13,17,4,7
664,2,30,21,6,1
665,14,6,5,21,14
666,27,7,20,2,4
667,17,7,1,7,28
668,25,15,1,2,17
669,5,11,21,3,20
670,20,7,12,1,20
671,11,8,20,17,4
672,14,8,6,8,24
673,1,7,16,4,32
674,10,24,3,18,5
675,1,21,3,4,31
676,10,33,6,2,9
677,5,13,23,2,17
678,7,20,27,4,2
679,19,8,1,10,22
680,10,17,28,2,3
681,11,18,21,6,4
682,7,3,37,1,12
683,2,26,10,8,14
684,8,2,8,40,2
685,25,11,12,3,9
686,8,1,29,8,14
687,5,15,10,28,2
688,7,10,26,7,10
689,10,13,17,10,10
690,4,11,18,3,24
691,14,8,6,14,18
692,7,2,21,8,22
693,18,27,6,4,5
694,18,25,5,10,2
695,18,9,23,6,4
696,2,28,6,2,22
697,1,15,6,6,32
698,15,23,1,13,8
699,21,2,5,11,21
700,31,13,6,5,5
701,4,2,23,12,19
702,12,20,2,23,3
703,21,18,3,14,4
704,2,25,4,5,24
705,9,12,17,7,15
706,7,2,10,6,35
707,4,15,10,23,8
708,7,12,1,39,1
709,15,2,15,9,19
710,6,1,7,27,19
711,1,19,4,34,2
712,30,9,8,3,10
713,3,14,4,11,28
714,3,4,45,3,5
715,6,14,12,25,3
716,2,1,42,13,2
717,15,10,18,4,13
718,42,1,3,10,4
719,3,39,2,6,10
720,7,16,18,12,7
721,3,15,31,7,4
722,3,15,4,12,26
723,6,12,18,11,13
724,1,18,4,22,15
725,9,30,1,8,12
726,7,6,15,7,25
727,2,24,8,9,17
728,14,9,5,24,8
729,36,2,1,20,1
730,9,26,6,8,11
731,12,6,6,24,12
732,6,8,8,32,6
733,11,32,1,13,3
734,29,12,8,6,5
735,16,17,10,15,2
736,2,30,22,5,1
737,18,14,21,6,1
738,6,22,16,3,13
739,16,12,27,3,2
740,2,16,23,8,11
741,17,15,14,11,3
742,10,14,2,14,20
743,9,40,1,2,8
744,2,4,17,27,10
745,25,7,7,9,12
746,12,10,18,6,14
747,8,18,18,11,5
748,9,13,1,36,1
749,2,8,25,1,24
750,19,3,1,5,32
751,19,2,11,1,27
752,4,2,1,5,48
753,14,16,6,17,7
754,6,22,1,18,13
755,3,4,23,2,28
756,16,16,18,4,6
757,10,33,3,2,12
758,1,30,4,4,21
759,5,25,4,25,1
760,2,12,8,4,34
761,5,12,9,29,5
762,7,16,3,29,5
763,17,9,10,13,11
764,12,9,13,16,10
765,1,10,13,1,35
766,16,4,14,4,22
767,17,19,1,18,5
768,6,41,5,4,4
769,14,4,10,10,22
770,8,6,8,30,8
771,9,2,8,22,19
772,11,1,5,38,5
773,20,7,17,4,12
774,11,7,18,5,19
775,10,16,2,21,11
776,2,11,18,21,8
777,6,4,6,12,32
778,1,20,7,10,22
779,4,19,25,3,9
780,3,5,13,33,6
781,36,1,6,9,8
782,1,17,30,9,3
783,15,12,16,10,7
784,5,15,27,12,1
785,2,32,3,15,8
786,3,3,9,29,16
787,21,18,2,2,17
788,22,8,14,4,12
789,2,6,6,18,28
790,22,13,20,3,2
791,24,14,9,2,11
792,17,17,16,4,6
793,7,3,21,3,26
794,3,17,1,10,29
795,7,13,5,2,33
796,3,28,14,2,13
797,14,14,9,16,7
798,17,20,16,3,4
799,2,4,14,26,14
800,2,7,17,4,30
801,9,24,12,13,2
802,1,2,39,8,10
803,27,11,9,11,2
804,6,9,28,2,15
805,42,5,4,3,6
806,31,4,5,2,18
807,1,28,25,2,4
808,19,4,22,7,8
809,1,15,5,21,18
810,20,1,28,9,2
811,1,37,7,2,13
812,5,34,6,13,2
813,4,13,5,3,35
814,7,6,28,15,4
815,1,7,25,14,13
816,21,25,8,1,5
817,35,3,4,15,3
818,7,3,1,16,33
819,9,44,4,1,2
820,9,21,16,4,10
821,21,2,12,14,11
822,9,21,23,4,3
823,16,1,36,5,2
824,14,22,19,1,4
825,7,1,8,35,9
826,3,2,1,31,23
827,6,24,2,21,7
828,4,9,3,14,30
829,5,16,1,25,13
830,32,3,4,16,5
831,3,5,7,30,15
832,12,9,7,24,8
833,13,11,20,14,2
834,5,26,22,6,1
835,16,3,36,4,1
836,43,3,3,4,7
837,1,17,7,23,12
838,7,4,29,18,2
839,11,21,9,9,10
840,1,7,23,22,7
841,17,9,14,16,4
842,36,8,2,13,1
843,10,11,3,9,27
844,17,10,27,2,4
845,1,19,2,9,29
846,24,15,11,5,5
847,2,2,26,18,12
848,10,3,6,7,34
849,30,14,1,13,2
850,26,3,14,11,6
851,26,4,12,11,7
852,19,2,10,22,7
853,13,20,2,2,23
854,29,5,18,6,2
855,7,27,6,2,18
856,18,10,21,5,6
857,14,19,3,18,6
858,6,10,1,33,10
859,27,6,16,4,7
860,15,26,5,5,9
861,4,7,18,16,15
862,9,8,27,3,13
863,16,4,11,23,6
864,10,40,3,1,6
865,12,8,22,10,8
866,7,7,11,26,9
867,3,10,24,2,21
868,29,1,5,22,3
869,1,10,27,21,1
870,43,2,10,1,4
871,16,3,11,29,1
872,36,20,2,1,1
873,25,10,1,14,10
874,2,1,28,2,27
875,5,6,10,11,28
876,6,25,6,3,20
877,23,2,27,4,4
878,19,8,13,3,17
879,1,27,15,9,8
880,12,25,7,5,11
881,1,11,8,31,9
882,7,5,5,5,38
883,10,2,7,22,19
884,11,21,15,1,12
885,20,3,22,13,2
886,24,5,1,6,24
887,9,13,8,2,28
888,9,17,24,4,6
889,2,5,16,30,7
890,7,2,8,35,8
891,3,12,11,26,8
892,21,24,8,1,6
893,23,7,11,18,1
894,13,25,9,11,2
895,11,3,19,26,1
896,36,6,4,5,9
897,12,12,12,16,8
898,13,30,6,9,2
899,11,2,2,22,23
900,17,21,16,5,1
901,5,19,2,15,19
902,26,1,4,3,26
903,6,30,3,10,11
904,12,1,9,30,8
905,6,2,39,1,12
906,2,19,37,1,1
907,2,3,12,21,22
908,7,15,13,23,2
909,17,10,21,7,5
910,16,1,14,19,10
911,3,4,7,7,39
912,9,3,18,9,21
913,2,10,11,27,10
914,20,14,2,16,8
915,1,10,19,11,19
916,4,6,13,11,26
917,5,14,8,19,14
918,16,13,8,19,4
919,9,4,7,35,5
920,12,5,18,18,7
921,34,12,9,1,4
922,23,19,13,1,4
923,11,15,15,11,8
924,11,16,4,15,14
925,1,12,34,2,11
926,4,10,20,7,19
927,7,15,20,14,4
928,20,13,9,6,12
929,11,21,18,6,4
930,2,6,9,9,34
931,4,9,14,9,24
932,3,30,11,6,10
933,4,21,4,7,24
934,29,2,12,7,10
935,12,10,23,4,11
936,4,9,22,23,2
937,4,17,28,5,6
938,1,2,14,15,28
939,24,2,17,16,1
940,2,34,3,4,17
941,11,9,7,14,19
942,18,3,10,24,5
943,8,22,10,1,19
944,15,8,4,18,15
945,4,19,12,23,2
946,8,2,6,37,7
947,6,19,12,14,9
948,2,8,2,23,25
949,16,6,10,14,14
950,1,23,11,15,10
951,5,5,12,36,2
952,23,26,8,2,1
953,6,10,28,1,15
954,29,6,6,1,18
955,7,6,6,21,20
956,9,3,9,7,32
957,1,15,24,16,4
958,25,17,6,6,6
959,4,11,1,43,1
960,2,9,19,15,15
961,13,15,20,3,9
962,8,27,3,4,18
963,23,3,18,11,5
964,4,33,7,8,8
965,8,10,2,29,11
966,11,13,23,8,5
967,16,8,5,4,27
968,8,17,5,12,18
969,3,28,11,13,5
970,4,4,15,33,4
971,4,13,18,9,16
972,9,15,9,17,10
973,3,2,19,14,22
974,1,32,10,4,13
975,6,7,10,24,13
976,8,11,22,8,11
977,16,6,6,19,13
978,18,24,10,3,5
979,20,2,30,6,2
980,1,41,3,13,2
981,15,12,25,1,7
982,22,7,16,6,9
983,1,20,7,8,24
984,13,5,14,9,19
985,6,12,9,2,31
986,3,24,6,18,9
987,15,21,3,1,20
988,10,10,18,14,8
989,2,16,5,18,19
990,6,13,19,15,7
991,11,9,6,18,16
992,1,3,25,30,1
993,16,32,1,9,2
994,11,10,27,2,10
995,6,15,1,22,16
996,2,19,11,27,1
997,14,12,19,2,13
998,3,23,19,1,14
999,5,11,2,21,21
1000,5,9,18,17,11
1001,16,7,7,25,5
1002,18,4,21,11,6
1003,4,8,23,21,4
1004,3,6,5,34,12
1005,18,3,29,9,1
1006,6,42,7,2,3
1007,5,13,8,27,7
1008,5,1,7,9,38
1009,3,23,5,17,12
1010,7,35,7,5,6
1011,9,1,25,11,14
1012,30,18,1,8,3
1013,15,3,1,9,32
1014,27,17,4,8,4
1015,7,20,10,3,20
1016,6,18,29,6,1
1017,3,26,12,17,2
1018,4,22,4,24,6
1019,3,29,4,15,9
1020,31,13,3,4,9
1021,3,10,7,17,23
1022,19,9,2,14,16
1023,4,1,36,17,2
1024,4,1,24,3,28
1025,8,2,29,2,19
1026,34,3,6,5,12
1027,4,14,21,12,9
1028,13,31,1,5,10
1029,5,5,2,46,2
1030,22,16,10,11,1
1031,10,39,4,2,5
1032,9,23,4,13,11
1033,2,1,33,11,13
1034,3,33,2,14,8
1035,11,15,6,13,15
1036,28,3,1,14,14
1037,13,19,18,6,4
1038,20,14,11,3,12
1039,3,4,20,4,29
1040,17,14,6,8,15
1041,18,26,3,3,10
1042,28,4,2,9,17
1043,5,18,25,6,6
1044,12,5,15,18,10
1045,3,3,8,6,40
1046,34,4,19,2,1
1047,33,16,2,1,8
1048,18,20,20,1,1
1049,4,2,46,2,6
1050,36,7,5,4,8
1051,10,41,1,6,2
1052,13,9,5,13,20
1053,24,13,15,3,5
1054,15,17,1,21,6
1055,23,13,5,15,4
1056,6,8,19,11,16
1057,28,15,3,6,8
1058,26,2,22,1,9
1059,6,19,10,11,14
1060,6,31,9,11,3
1061,1,15,19,3,22
1062,3,26,5,21,5
1063,4,27,13,3,13
1064,12,11,6,14,17
1065,9,5,7,22,17
1066,2,11,21,1,25
1067,11,6,1,24,18
1068,5,12,20,7,16
1069,3,10,5,36,6
1070,8,28,20,3,1
1071,26,13,2,16,3
1072,3,28,3,25,1
1073,5,2,4,33,16
1074,28,2,4,16,10
1075,22,1,24,2,11
1076,6,13,2,10,29
1077,35,2,7,13,3
1078,3,21,12,20,4
1079,11,6,29,11,3
1080,8,19,10,1,22
1081,10,8,1,4,37
1082,3,24,20,4,9
1083,3,39,1,2,15
1084,2,5,8,23,22
1085,5,3,10,21,21
1086,29,11,9,9,2
1087,23,21,3,11,2
1088,9,14,10,18,9
1089,6,3,5,45,1
1090,12,30,3,10,5
1091,7,36,4,6,7
1092,21,3,24,9,3
1093,23,7,7,17,6
1094,7,21,18,3,11
1095,16,32,3,8,1
1096,16,28,4,11,1
1097,16,2,12,13,17
1098,18,11,4,21,6
1099,9,33,5,8,5
1100,6,11,1,4,38
1101,4,19,2,21,14
1102,13,4,8,34,1
1103,7,17,26,4,6
1104,1,16,22,12,9
1105,21,11,9,12,7
1106,14,7,17,11,11
1107,4,6,37,7,6
1108,9,22,9,5,15
1109,2,24,1,12,21
1110,20,21,2,9,8
1111,2,27,24,6,1
1112,17,4,30,5,4
1113,17,9,23,3,8
1114,2,10,8,16,24
1115,10,8,6,29,7
1116,13,6,13,11,17
1117,3,2,44,1,10
1118,3,14,14,27,2
1119,2,3,39,14,2
1120,3,26,5,25,1
1121,15,18,8,13,6
1122,13,6,2,4,35
1123,5,12,18,3,22
1124,5,8,5,6,36
1125,3,43,3,8,3
1126,8,5,1,1,45
1127,3,4,39,9,5
1128,8,23,5,2,22
1129,12,19,4,18,7
1130,4,6,11,20,19
1131,24,28,3,4,1
1132,11,3,32,11,3
1133,10,6,29,3,12
1134,2,20,9,8,21
1135,5,22,12,2,19
1136,3,12,15,8,22
1137,13,26,11,7,3
1138,10,4,8,36,2
1139,14,5,8,1,32
1140,3,3,4,38,12
1141,3,5,18,15,19
1142,3,8,24,2,23
1143,4,9,11,24,12
1144,18,15,4,11,12
1145,1,13,2,35,9
1146,17,11,10,18,4
1147,30,3,4,15,8
1148,7,27,5,13,8
