E_f,Eads,dCenter,WorkFunc,X,Y,Z,deltaq_K,Slope
0.54110956,-1.2031978,-4.4024625,5.3487787,3765.5679,3634.7493,2.1411626,-0.87894315,40.37
0.6475282,-1.2184144,-4.4277797,5.445855,3978.7725,3552.4553,2.0483973,-0.8752921,49.64
0.6778694,-1.1935681,-4.4696417,5.3956165,3999.8594,3637.4004,2.1034663,-0.876701,21.11
0.8148461,-1.1897558,-4.5259852,5.439121,4152.77,3693.6794,2.1037247,-0.87484837,44.37
0.6800779,-1.2409226,-4.4542828,5.465374,4038.2317,3803.4275,1.9223081,-0.8741818,41.11
0.7067443,-1.2141556,-4.4983306,5.4145985,4085.0076,3920.4211,1.9742332,-0.8755436,61.68
0.84888357,-1.2015964,-4.5530787,5.4584246,4263.914,3898.5618,1.967985,-0.8737473,59.27
0.27125475,-1.2213923,-4.1760893,5.366462,3182.1113,2794.1697,2.2775824,-0.880737,70.93
0.33794355,-1.2193103,-4.215507,5.3876834,3216.7021,2814.9385,2.27177,-0.87984395,81.77
0.35488468,-1.2047907,-4.2346787,5.3653393,3216.4492,2828.6953,2.301467,-0.88068414,76.95
0.28911385,-1.2276152,-4.1948185,5.3727183,3318.5337,2969.8645,2.213762,-0.88001746,50.51
0.35687044,-1.222808,-4.2374325,5.397055,3365.0256,2971.2422,2.1968932,-0.8792769,89.96
0.374094,-1.2096072,-4.254597,5.3733087,3344.9111,2995.9077,2.2354028,-0.8799682,87.85
0.42388567,-1.2218491,-4.275721,5.416622,3391.3044,2994.0176,2.1980522,-0.8783519,91.04
0.4380931,-1.2069113,-4.2955294,5.3936324,3415.4785,2995.5803,2.2270675,-0.8791462,87.92
0.45880157,-1.1939431,-4.3172674,5.3718605,3394.0527,3032.1025,2.261951,-0.87995225,73.57
0.3774779,-1.2293401,-4.2587056,5.4058986,3490.671,3139.0789,2.12896,-0.87857467,87.06
0.39159334,-1.2164732,-4.274905,5.3789406,3492.4316,3158.2405,2.1664553,-0.87919956,83.53
0.44485113,-1.2256651,-4.299192,5.4287033,3529.0486,3137.5452,2.1224957,-0.8777961,86.14
0.45814258,-1.2119746,-4.316198,5.401637,3544.7344,3158.6997,2.157849,-0.87844515,103.51
0.47796634,-1.1989226,-4.3391767,5.3801937,3521.3352,3197.75,2.1957474,-0.8792797,95.49
0.5245479,-1.209909,-4.356475,5.422657,3599.5688,3168.964,2.15542,-0.8775929,140.66
0.54317033,-1.1965262,-4.3741913,5.400399,3604.4988,3203.2002,2.1845796,-0.878355,110.74
0.3070367,-1.2256157,-4.2152715,5.341446,3379.6624,2964.675,2.2712793,-0.88001126,95.5
0.3751772,-1.2205682,-4.2564216,5.3723683,3433.023,2990.0984,2.2414849,-0.8791148,109.9
0.39293373,-1.2067546,-4.27555,5.346038,3380.274,2982.3635,2.2793982,-0.8800355,78.3
0.43930212,-1.2207499,-4.2946916,5.3953032,3447.361,3006.9438,2.2445652,-0.8781922,80.83
0.4575534,-1.2046555,-4.314928,5.3667407,3447.184,3000.143,2.273447,-0.8791282,54.13
0.4778964,-1.191271,-4.33645,5.343873,3427.16,3014.9292,2.3044136,-0.87997943,69.35
0.39411,-1.226977,-4.2742796,5.38041,3540.4307,3155.3403,2.1807942,-0.878523,69.36
0.41056356,-1.2124283,-4.293769,5.3521523,3511.5562,3148.4585,2.218061,-0.879305,89.55
0.4621807,-1.2233753,-4.316127,5.402766,3575.162,3151.6082,2.1709094,-0.8776655,93.49
0.4758696,-1.2087125,-4.3364625,5.3744507,3580.9055,3146.7725,2.20429,-0.87851,88.72
0.49607667,-1.1959716,-4.3540998,5.3527217,3553.0698,3198.3865,2.234327,-0.87929714,81.53
0.5413878,-1.2075047,-4.370161,5.3955393,3625.5706,3177.56,2.1997116,-0.8775896,70.68
0.5607957,-1.1939037,-4.389545,5.374135,3639.32,3211.6047,2.222308,-0.8784169,88.45
0.4790333,-1.2302537,-4.3333173,5.414585,3701.9365,3324.2095,2.0991704,-0.87710506,97.09
0.492761,-1.2154629,-4.348188,5.385993,3695.7454,3331.3567,2.1316283,-0.8777735,85.43
0.5123799,-1.2027683,-4.367406,5.3630433,3692.5044,3388.795,2.1624572,-0.8785493,82.23
0.5582361,-1.2131809,-4.385696,5.410113,3780.7976,3344.4062,2.1239216,-0.8769208,107.67
0.57658696,-1.2005135,-4.4027185,5.385036,3789.0728,3400.4036,2.1531715,-0.87762386,109.28
0.6424204,-1.1985526,-4.436454,5.407909,3869.431,3416.682,2.148121,-0.87674606,105.65
0.4114164,-1.226891,-4.290683,5.357757,3676.865,3241.3586,2.2285776,-0.8782088,60.86
0.4262608,-1.2104151,-4.3137965,5.3188176,3633.573,3223.8687,2.2660072,-0.87937963,72.07
0.47516695,-1.2244105,-4.3296976,5.385593,3682.396,3246.0781,2.2117672,-0.87737584,83.14
0.4936444,-1.2064772,-4.348101,5.353497,3670.6055,3232.8247,2.2342176,-0.8783329,78.87
0.5122488,-1.1926146,-4.3666477,5.3252025,3630.2842,3261.317,2.2634177,-0.87934375,84.82
0.55953836,-1.2062945,-4.38226,5.3764625,3710.7798,3262.0173,2.2342806,-0.8773463,74.06
0.57847744,-1.1912178,-4.4023147,5.3504667,3709.1685,3263.3816,2.2573044,-0.87834626,79.31
0.49458724,-1.2299963,-4.341696,5.396235,3834.45,3446.3662,2.1354177,-0.8767441,70.83
0.50946325,-1.2140284,-4.3595243,5.3649297,3796.1365,3421.4524,2.168663,-0.8776428,64.81
0.5279756,-1.1993,-4.380775,5.334223,3759.918,3434.018,2.1952991,-0.87862813,59.17
0.5757736,-1.2112145,-4.3953295,5.388087,3866.3196,3422.872,2.1610363,-0.876737,83.27
0.5940468,-1.1977047,-4.416837,5.360048,3842.8662,3429.5068,2.1893659,-0.87763166,59.85
0.6608736,-1.1960629,-4.447852,5.383105,3919.673,3463.5222,2.1870093,-0.8766905,85.77
0.5922992,-1.2190104,-4.4068174,5.40033,3999.5693,3608.9329,2.0960422,-0.87605435,84.82
0.6111165,-1.2048453,-4.430406,5.371382,3951.61,3590.9495,2.1241193,-0.87691635,69.81
0.67773616,-1.2021277,-4.4618015,5.3954515,4045.679,3615.7234,2.1177926,-0.8760225,65.36
0.4104989,-1.2281189,-4.269343,5.471842,3572.2886,3176.7073,2.022722,-0.87780404,151
0.4783761,-1.2232594,-4.3034673,5.484717,3613.8489,3199.1555,2.0295522,-0.8771349,86.05
0.4897746,-1.2106549,-4.322756,5.464503,3634.9236,3190.5337,2.0530748,-0.8777596,76.36
0.43365756,-1.2314715,-4.3015985,5.475313,3737.2402,3373.372,1.9649591,-0.8771905,97.25
0.49379867,-1.2234688,-4.334458,5.491637,3783.9226,3341.9421,1.964758,-0.87661713,66.24
0.50997657,-1.21614,-4.3531513,5.4710727,3772.1929,3322.97,1.9923569,-0.8770818,86.38
0.57648283,-1.209166,-4.381984,5.484818,3869.437,3360.7297,2.0044057,-0.87634444,121.14
0.58972055,-1.2008649,-4.40123,5.466164,3860.0073,3350.9023,2.0260842,-0.8769271,122.85
0.51297796,-1.2298359,-4.3607264,5.496724,3875.5276,3456.8606,1.9165516,-0.8760759,123.74
0.5259098,-1.2211845,-4.3783283,5.4766893,3879.0078,3490.0696,1.9380991,-0.8765043,137.43
0.59280837,-1.2146538,-4.4013457,5.4936714,3938.0876,3454.1064,1.9356376,-0.8759115,123.81
0.6046352,-1.206013,-4.4199986,5.474379,3957.898,3499.6433,1.9560896,-0.8763336,165.98
0.6744149,-1.2004325,-4.4491086,5.486711,4034.5056,3498.14,1.9745935,-0.8757175,125.91
0.44994694,-1.2344639,-4.3130646,5.4618363,3662.1797,3291.324,2.0014808,-0.87705505,90.81
0.51661354,-1.2290746,-4.3480134,5.4780574,3735.2227,3286.0308,2.0063064,-0.87635565,122.97
0.5280552,-1.2168496,-4.3651996,5.456696,3739.636,3307.7356,2.0303783,-0.87691945,136.24
0.5982231,-1.2131546,-4.3923893,5.471564,3819.9888,3346.4863,2.040607,-0.8761597,87.9
0.6083136,-1.2008079,-4.412614,5.4512005,3835.5942,3359.445,2.0623271,-0.87677115,122.33
0.5301133,-1.2367998,-4.3651533,5.485856,3818.5427,3399.5085,1.9392363,-0.8757384,150.56
0.54522806,-1.2255161,-4.3860064,5.465055,3837.138,3448.5396,1.96181,-0.8762966,98.65
0.61121243,-1.2193135,-4.4106116,5.481205,3917.9993,3453.8093,1.9652922,-0.87556016,117.6
0.62484235,-1.2080303,-4.431266,5.460352,3921.1335,3489.6658,1.9879495,-0.87614244,131.9
0.6930064,-1.202559,-4.4548745,5.4746723,4020.5063,3519.467,1.9982876,-0.8753714,156.12
0.6279377,-1.2283751,-4.4266953,5.4890823,3960.1506,3532.2126,1.9014095,-0.8750671,163
0.64027995,-1.2177299,-4.4477806,5.4684196,3968.5305,3579.799,1.9230634,-0.875567,157.72
0.70911705,-1.2122082,-4.471108,5.4842534,4057.018,3574.775,1.9287558,-0.87481606,121.35
0.54988694,-1.2358608,-4.3745704,5.4714193,3842.976,3466.1755,1.9749821,-0.8755667,106.91
0.5617332,-1.224239,-4.392204,5.44598,3855.1816,3491.2517,2.0048215,-0.8761943,75.39
0.63309026,-1.2187282,-4.4214706,5.4666023,3948.8296,3517.765,2.0016086,-0.87538666,109.45
0.6425786,-1.2072897,-4.438495,5.4434757,3931.956,3538.995,2.031121,-0.87598133,116.16
0.71395147,-1.2030448,-4.4674296,5.4603295,4046.4094,3571.1594,2.0325568,-0.8751815,125.96
0.64660615,-1.2282758,-4.4360995,5.4746714,3980.9734,3592.9148,1.9363443,-0.8748192,140.06
0.65862685,-1.2159648,-4.4561477,5.453373,4004.2256,3666.6694,1.9604223,-0.8753717,141.5
0.7282332,-1.2105888,-4.483267,5.4697905,4082.5757,3650.1143,1.9627142,-0.8746311,131.7
0.74452096,-1.2212466,-4.4978666,5.478269,4114.27,3710.3213,1.8978437,-0.8740985,162.82
